Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2009-02-18T00:00:00.0/2009-02-19T00:00:00.0;10949.2188;8973.9639;8294.3682;679.5959;12076.4541;7348.4175;5407.0483;1941.369;6844.3223;0.9868
2009-02-19T00:00:00.0/2009-02-20T00:00:00.0;10916.0752;8811.1338;7824.9434;986.1899;11222.1562;5898.7339;2501.4358;3397.2979;2979.8423;0.9872
2009-02-20T00:00:00.0/2009-02-21T00:00:00.0;10882.2451;8798.4766;7798.9468;999.5295;11188.1562;4711.6245;1991.3237;2720.301;2971.3777;0.9878
2009-02-21T00:00:00.0/2009-02-22T00:00:00.0;10847.8086;8903.8965;8139.2261;764.6702;11838.9014;6027.8872;1551.7506;4476.1367;2335.8918;0.9878
2009-02-22T00:00:00.0/2009-02-23T00:00:00.0;10812.7588;8870.9502;8050.2065;820.7439;11734.4873;7201.3721;3393.6543;3807.7178;4471.6772;0.9889
2009-02-23T00:00:00.0/2009-02-24T00:00:00.0;10777.0771;8841.5693;8094.5093;747.0603;11777.0293;8117.4214;6468.8242;1648.5973;8465.333;0.9889
2009-02-24T00:00:00.0/2009-02-25T00:00:00.0;10740.7305;8725.2861;7683.0571;1042.2294;11081.2334;5526.1865;2475.7627;3050.4238;2835.8545;0.9896
2009-02-25T00:00:00.0/2009-02-26T00:00:00.0;10703.8086;8770.5049;8041.5278;728.9769;11827.6377;4516.751;1021.4553;3495.2957;1194.5726;0.9899
2009-02-26T00:00:00.0/2009-02-27T00:00:00.0;10666.2852;8754.501;7966.2593;788.2416;11713.5322;5656.166;2344.033;3312.1331;2799.3037;0.9851
2009-02-27T00:00:00.0/2009-02-28T00:00:00.0;10628.1748;8697.4219;8085.8042;611.6181;12017.834;3463.7515;486.3043;2977.4473;514.1471;0.9802
2009-02-28T00:00:00.0/2009-03-01T00:00:00.0;10589.4199;8648.7207;8071.3672;577.3533;11901.3711;6815.3042;4872.4746;1942.83;5717.1309;0.9757
2009-03-01T00:00:00.0/2009-03-02T00:00:00.0;10550.1348;8480.3076;7367.0557;1113.2521;10696.6113;5430.9526;1917.9591;3512.9937;2232.8962;0.976
